year,trees,lumberjacks,bears,lumber,mauls,calculationTime
114,13888,82,189,1653,42,1682
115,13869,82,188,1605,31,1693
116,13868,82,187,1631,31,1688
117,13846,85,186,1758,32,1694
118,13896,80,185,1583,37,1688
119,13867,87,184,1769,24,1696
120,13825,87,183,1822,35,1697
121,13889,88,182,1922,35,1687
122,13795,92,181,1986,29,1691
123,13862,86,180,1823,42,1687
124,13849,87,179,1783,32,1693
125,13892,84,178,1692,36,1690
126,13853,87,177,1789,30,1692
127,13853,86,176,1753,33,1695
128,13863,86,175,1828,35,1690
129,13823,90,174,1816,26,1695
130,13796,93,173,1867,26,1687
131,13805,92,172,1882,30,1686
132,13807,92,171,1809,27,1680
133,13809,90,170,1809,32,1728
134,13795,91,169,1883,29,1685
135,13812,89,168,1755,31,1696
136,13839,93,167,1929,27,1708
137,13766,95,166,1950,28,1714
138,13760,90,165,1774,33,1756
139,13813,89,164,1866,33,1712
140,13789,91,163,1856,27,1697
141,13857,88,162,1884,37,1697
142,13828,91,161,1918,30,1691
143,13841,87,160,1868,41,1700
144,13848,87,159,1785,31,1697
145,13827,89,158,1770,28,1693
146,13839,92,157,1951,30,1695
147,13819,91,156,1940,35,1701
148,13832,92,155,1878,28,1698
149,13788,92,154,1801,28,1692
150,13801,91,153,1839,31,1691
151,13814,89,152,1914,36,1688
152,13787,91,151,1874,28,1681
153,13830,84,150,1663,38,1691
154,13756,93,149,1846,18,1690
155,13777,96,148,1928,25,1688
156,13769,102,147,2204,24,1700
157,13708,102,146,2098,28,1699
158,13742,100,145,2066,30,1695
159,13738,99,144,2093,31,1690
160,13780,97,143,2005,31,1685
161,13734,100,142,2034,24,1688
162,13804,88,141,1707,40,1685
163,13823,89,140,1691,26,1690
164,13760,95,139,1897,22,1691
165,13737,97,138,1951,26,1688
166,13707,100,137,2018,24,1688
167,13718,97,136,2032,32,1687
168,13729,97,135,1913,27,1684
169,13768,92,134,1766,31,1690
170,13751,96,133,1747,20,1684
171,13755,100,132,1926,22,1690
172,13696,105,131,2025,20,1685
173,13748,96,130,1946,37,1685
174,13736,98,129,1994,26,1686
175,13721,99,128,1868,24,1685
176,13716,98,127,1995,29,1681
177,13688,99,126,2003,26,1691
178,13752,98,125,1888,26,1688
179,13724,97,124,1906,28,1690
180,13735,101,123,2024,22,1709
181,13760,102,122,2037,26,1683
182,13644,103,121,2114,26,1684
183,13692,105,120,2178,25,1685
184,13778,100,119,2039,32,1688
185,13693,104,118,2140,23,1690
186,13650,104,117,2000,25,1682
187,13705,101,116,1980,29,1677
188,13712,98,115,1961,31,1689
189,13707,103,114,2040,21,1693
190,13704,105,113,1989,22,1697
191,13699,100,112,1927,31,1701
192,13709,100,111,2000,27,1723
193,13683,101,110,2067,27,1700
194,13730,106,109,2188,22,1761
195,13726,105,108,2015,26,1719
196,13693,103,107,2081,29,1690
197,13701,105,106,2062,24,1688
198,13640,108,105,2128,22,1691
199,13591,112,104,2199,20,1674
200,13640,112,103,2302,26,1679
201,13623,112,102,2188,24,1692
202,13645,114,101,2166,22,1691
203,13657,111,100,2229,29,1686
204,13561,118,99,2383,18,1692
205,13575,122,98,2408,20,1746
206,13516,127,97,2365,17,1689
207,13484,128,96,2388,21,1670
208,13533,122,95,2354,30,1677
209,13583,120,94,2168,24,1683
210,13583,122,93,2291,21,1681
211,13573,122,92,2279,22,1681
212,13520,124,91,2329,21,1686
213,13496,126,90,2212,19,1678
214,13483,127,89,2272,20,1675
215,13527,128,88,2230,19,1675
216,13498,126,87,2371,24,1684
217,13537,117,86,2214,32,1676
218,13589,120,85,2253,20,1679
219,13490,120,84,2325,23,1706
220,13541,120,83,2125,21,1679
221,13483,120,82,2401,25,1679
222,13550,127,81,2357,15,1674
223,13592,125,80,2344,24,1679
224,13605,122,79,2284,26,1687
225,13520,128,78,2274,15,1681
226,13492,124,77,2245,26,1687
227,13465,126,76,2392,21,1684
228,13592,121,75,2255,28,1679
229,13578,121,74,2302,23,1677
230,13583,122,73,2298,21,1683
231,13506,126,72,2388,19,1685
232,13473,139,71,2579,9,1685
233,13447,134,70,2374,26,1691
234,13444,135,69,2475,20,1686
235,13434,129,68,2403,28,1684
236,13368,133,67,2339,16,1667
237,13393,134,66,2522,21,1666
238,13451,128,65,2325,27,1684
239,13492,135,64,2523,15,1679
240,13457,143,63,2644,13,1682
241,13397,145,62,2762,20,1682
242,13396,146,61,2447,18,1674
243,13397,139,60,2415,27,1658
244,13403,132,59,2407,28,1672
245,13448,131,58,2311,22,1677
246,13444,131,57,2274,20,1675
247,13433,136,56,2289,14,1676
248,13377,141,55,2512,15,1672
249,13444,145,54,2609,16,1664
250,13376,150,53,2613,15,1678
251,13332,156,52,2822,14,1678
252,13288,158,51,2713,17,1674
253,13224,160,50,2865,18,1688
254,13309,156,49,2769,24,1673
255,13311,156,48,2654,19,1664
256,13247,157,47,2654,18,1667
257,13228,158,46,2543,17,1672
258,13231,164,45,2722,12,1673
259,13164,166,44,2937,17,1681
260,13183,168,43,2671,15,1673
261,13188,163,42,2865,24,1657
262,13174,164,41,2698,17,1658
263,13173,171,40,2771,11,1678
264,13109,178,39,3036,11,1680
265,13032,183,38,2982,12,1672
266,12948,186,37,2952,14,1650
267,12913,190,36,3050,13,1633
268,12902,193,35,3044,14,1651
269,12912,198,34,3053,11,1667
270,12884,202,33,3049,12,1661
271,12795,207,32,3227,11,1852
272,12827,208,31,3038,14,1643
273,12789,215,30,3221,9,1657
274,12711,220,29,3420,11,1661
275,12786,217,28,3363,19,1810
276,12739,220,27,3302,13,1639
277,12723,224,26,3203,11,1663
278,12635,221,25,3116,18,1653
279,12584,220,24,3021,15,1658
280,12592,222,23,3190,13,1633
281,12612,223,22,3221,14,1650
282,12628,224,21,3306,14,1655
283,12564,231,20,3361,8,1682
284,12557,239,19,3339,6,1876
285,12458,243,18,3457,11,1762
286,12490,245,17,3373,12,1628
287,12405,251,16,3647,9,1627
288,12384,259,15,3584,6,1651
289,12365,266,14,3556,7,1643
290,12269,272,13,3532,7,1584
291,12190,277,12,3637,8,1651
292,12111,284,11,3629,6,1631
293,12077,291,10,3597,5,1606
294,11903,300,9,3681,3,1598
295,11855,306,8,3697,6,1607
296,11812,312,7,3922,7,1579
297,11837,320,6,3752,4,1550
298,11718,326,5,3850,6,1601
299,11598,335,4,3883,2,1539
300,11438,339,3,3951,8,1562
301,11487,349,3,3858,1,1549
302,11313,359,3,4053,1,1521
303,11343,368,3,3887,1,1552
304,11169,375,2,4010,4,1486
305,11013,382,1,4052,3,1510
306,10887,392,2,4124,0,1454
307,10790,401,2,4004,1,1449
308,10747,410,2,4150,1,1439
309,10589,418,1,4094,2,1417
310,10552,426,1,3979,1,1413
311,10351,434,1,4010,1,1517
312,10194,442,1,4048,1,1393
313,10072,450,2,3967,0,1444
314,10025,457,2,3985,1,1379
315,9949,464,2,3880,1,1450
316,9913,471,2,3935,1,1418
317,9872,478,2,3969,1,1387
318,9724,482,1,4035,4,1281
319,9627,488,0,3996,2,1299
320,9566,496,1,4048,0,1288
321,9409,501,0,4083,3,1262
322,9270,509,1,4201,0,1244
323,9169,516,2,4034,0,1234
324,8999,520,1,4010,3,1232
325,8913,525,0,4016,2,1184
326,8871,532,1,3887,0,1198
327,8765,538,1,3922,1,1189
328,8690,544,1,3911,1,1179
329,8565,547,0,3803,4,1151
330,8369,554,1,3868,0,1127
331,8286,560,2,3743,0,1104
332,8186,565,2,3711,1,1082
333,8109,569,1,3667,2,1082
334,8086,574,1,3693,1,1071
335,8047,578,0,3594,2,1066
336,7918,584,1,3606,0,1054
337,7758,588,0,3754,2,1033
338,7640,594,1,3604,0,1028
339,7492,598,0,3620,2,1008
340,7336,603,1,3581,0,977
341,7288,608,2,3445,0,965
342,7267,611,1,3412,2,962
343,7195,616,2,3448,0,965
344,7043,619,1,3456,2,941
345,7022,622,0,3314,2,931
346,6864,627,1,3321,0,915
347,6720,628,0,3356,4,910
348,6750,633,1,3163,0,889
349,6583,636,0,3198,2,885
350,6370,640,1,3121,0,863
351,6412,642,0,2970,2,853
352,6342,646,1,3049,0,856
353,6390,650,2,2983,0,848
354,6199,652,1,3169,2,839
355,6116,654,0,3063,2,819
356,6155,658,1,3017,0,821
357,6127,661,1,2968,1,821
358,5949,663,0,3036,2,803
359,5723,667,1,2966,0,780
360,5593,671,2,2852,0,763
361,5359,671,1,2860,4,741
362,5206,671,0,2757,4,710
363,5164,674,1,2659,0,703
364,5015,676,1,2584,1,687
365,5145,677,0,2436,2,687
366,5144,680,1,2561,0,694
367,5107,683,2,2519,0,718
368,4954,685,2,2593,1,695
369,4946,686,1,2430,2,670
370,4877,689,2,2517,0,667
371,4870,688,1,2376,4,676
372,4866,689,0,2398,2,662
373,4907,692,1,2378,0,665
374,5026,694,1,2326,1,677
375,5017,695,0,2528,2,684
376,4868,698,1,2516,0,672
377,4737,699,0,2490,2,658
378,4732,702,1,2341,0,650
379,4644,704,1,2429,1,644
380,4597,706,1,2319,1,630
381,4559,707,0,2198,2,631
382,4443,710,1,2322,0,621
383,4348,711,0,2254,2,607
384,4216,714,1,2207,0,603
385,4216,715,1,2060,1,601
386,4239,714,0,2009,3,603
387,4162,716,1,2021,0,604
388,4081,717,1,2012,1,600
389,4049,719,2,2005,0,600
390,3937,719,1,2038,2,600
391,3753,720,1,2102,1,600
392,3810,720,0,1786,2,600
393,3729,722,1,1917,0,600
394,3874,722,0,1754,2,600
395,3908,724,1,1914,0,600
396,3887,725,1,1887,1,600
397,3715,726,1,1999,1,600
398,3623,727,1,1970,1,600
399,3377,727,0,2045,2,600
400,3346,729,1,1750,0,600
401,3399,731,2,1689,0,600
402,3231,728,1,1845,5,600
403,3177,727,0,1742,3,600
404,3113,729,1,1673,0,600
405,3000,729,0,1681,2,601
406,2868,731,1,1633,0,605
407,2820,730,0,1528,3,609
408,2781,731,1,1455,0,608
409,2760,731,0,1486,2,611
410,2623,733,1,1539,0,609
411,2591,733,1,1428,1,610
412,2527,734,2,1450,0,608
413,2393,735,3,1429,0,609
414,2478,731,2,1229,5,608
415,2447,731,2,1344,1,609
416,2387,732,3,1334,0,608
417,2441,724,2,1185,9,609
418,2442,723,1,1271,2,608
419,2470,724,2,1198,0,609
420,2411,722,1,1255,3,609
421,2370,722,1,1232,1,609
422,2362,722,1,1217,1,608
423,2427,722,1,1170,1,609
424,2336,722,1,1327,1,609
425,2275,721,0,1256,2,609
426,2207,722,1,1246,0,609
427,2250,718,0,1161,5,608
428,2319,719,1,1121,0,608
429,2421,719,1,1077,1,609
430,2348,720,2,1279,0,608
431,2391,720,2,1193,1,609
432,2413,717,1,1231,4,609
433,2308,718,2,1275,0,609
434,2148,715,1,1356,4,608
435,2129,716,2,1185,0,610
436,2171,715,1,1074,2,608
437,2243,713,0,1089,3,609
438,2373,714,1,1062,0,608
439,2407,714,1,1150,1,608
440,2319,714,1,1261,1,608
441,2376,714,1,1172,1,609
442,2308,713,0,1227,2,608
443,2364,714,1,1191,0,608
444,2379,714,1,1200,1,609
445,2350,714,1,1275,1,610
446,2251,713,0,1269,2,608
447,2309,714,1,1159,0,608
448,2230,712,0,1230,3,609
449,2291,713,1,1098,0,608
450,2240,712,0,1180,2,608
451,2325,713,1,1126,0,609
452,2316,710,0,1165,4,609
453,2398,711,1,1144,0,608
454,2464,709,0,1152,3,609
455,2530,710,1,1163,0,609
456,2580,709,0,1229,2,608
457,2580,710,1,1180,0,609
458,2615,710,1,1242,1,609
459,2671,710,1,1200,1,609
460,2637,711,2,1288,0,609
461,2652,707,1,1272,5,609
462,2737,706,0,1240,2,609
463,2770,707,1,1290,0,610
464,2777,706,0,1286,2,608
465,2705,707,1,1407,0,610
466,2738,707,1,1331,1,609
467,2702,708,2,1396,0,610
468,2634,704,1,1393,5,610
469,2701,705,2,1274,0,609
470,2589,706,2,1466,1,608
471,2595,702,1,1343,5,609
472,2559,701,0,1337,2,608
473,2547,702,1,1276,0,609
474,2620,701,0,1260,2,608
475,2637,702,1,1316,0,609
476,2579,701,0,1383,2,609
477,2634,702,1,1243,0,611
478,2588,700,0,1308,3,609
