year,trees,lumberjacks,bears,lumber,mauls,calculationTime
1,5313,661,302,5687,726,2567
2,6477,331,301,2064,336,776
3,8578,171,300,1310,168,973
4,10735,94,299,980,88,1187
5,12347,67,298,788,41,1389
6,13246,56,297,758,33,1529
7,13707,52,296,686,33,1580
8,13854,54,295,734,28,1612
9,13918,53,294,703,30,1609
10,13949,57,293,783,30,1619
11,13925,61,292,863,35,1635
12,13990,62,291,913,37,1673
13,13935,69,290,1205,27,1695
14,13954,72,289,1305,34,1786
15,13934,77,288,1481,35,1700
16,13941,79,287,1465,48,1705
17,13928,83,286,1744,39,1711
18,13894,84,285,1773,36,1742
19,13900,81,284,1644,41,1695
20,13973,85,283,1774,45,1696
21,13896,86,282,1827,37,1712
22,13906,83,281,1726,42,1688
23,13871,86,280,1797,31,1687
24,13906,81,279,1671,45,1680
25,13928,81,278,1660,42,1682
26,13950,80,277,1606,41,1675
27,13840,83,276,1669,31,1685
28,13920,75,275,1434,48,1677
29,13935,78,274,1555,37,1675
30,13942,78,273,1530,39,1698
31,13881,83,272,1722,35,1728
32,13922,84,271,1768,44,1706
33,13924,82,270,1701,42,6434
34,13964,80,269,1608,43,11744
35,13941,79,268,1576,41,2290
36,13919,80,267,1622,37,1685
37,13947,81,266,1642,40,1684
38,13929,84,265,1782,34,1690
39,13882,84,264,1772,43,1687
40,13922,83,263,1754,41,1687
41,13916,86,262,1854,37,1686
42,13926,81,261,1677,45,1685
43,13911,80,260,1588,36,1688
44,13894,81,259,1643,39,1685
45,13902,80,258,1615,36,1687
46,13936,79,257,1533,46,1693
47,13876,83,256,1735,35,1695
48,13895,77,255,1496,44,1688
49,13941,74,254,1353,45,1679
50,13920,80,253,1623,36,1684
51,13862,83,252,1717,35,1692
52,13864,83,251,1753,42,1684
53,13903,80,250,1596,41,1682
54,13908,81,249,1622,44,1687
55,13944,81,248,1653,40,1685
56,13948,81,247,1641,42,1691
57,13910,83,246,1736,36,1694
58,13914,82,245,1707,43,1687
59,13886,85,244,1794,35,1689
60,13913,82,243,1663,39,1689
61,13947,84,242,1747,33,1735
62,13869,87,241,1887,36,1693
63,13880,83,240,1699,39,1688
64,13904,82,239,1672,37,1690
65,13859,86,238,1714,27,1694
66,13890,83,237,1726,42,1687
67,13903,81,236,1643,37,1689
68,13933,77,235,1497,38,1690
69,13909,80,234,1591,30,1684
70,13889,78,233,1545,42,1691
71,13996,76,232,1417,46,1683
72,13898,80,231,1597,29,1694
73,13884,84,230,1777,36,1692
74,13879,82,229,1686,37,1693
75,13835,85,228,1761,31,1691
76,13853,88,227,1859,32,1684
77,13874,88,226,1762,30,1693
78,13876,81,225,1660,43,1696
79,13860,83,224,1662,29,1693
80,13899,85,223,1832,36,1694
81,13864,84,222,1771,39,1692
82,13893,81,221,1653,41,1702
83,13883,85,220,1795,33,1705
84,13904,83,219,1681,37,1696
85,13886,82,218,1687,36,1691
86,13939,79,217,1554,37,1688
87,13876,80,216,1608,33,1686
88,13869,82,215,1680,34,1689
89,13897,82,214,1701,38,1693
90,13866,82,213,1656,35,1693
91,13884,84,212,1749,34,1695
92,13877,86,211,1828,33,1747
93,13906,81,210,1642,42,1686
94,13861,86,209,1801,28,1700
95,13866,86,208,1818,35,1758
96,13817,88,207,1841,31,1692
97,13827,89,206,1858,32,1692
98,13883,83,205,1709,40,1690
99,13871,83,204,1656,31,1695
100,13825,86,203,1698,27,1696
101,13863,78,202,1493,39,1694
102,13892,77,201,1463,34,1687
103,13899,80,200,1599,35,1693
104,13894,81,199,1624,35,1684
105,13866,87,198,1799,27,1691
106,13845,89,197,1825,28,1695
107,13887,80,196,1629,46,1690
108,13872,86,195,1800,28,1691
109,13855,85,194,1760,36,1696
110,13846,90,193,1927,28,1693
111,13812,90,192,1927,34,1696
112,13813,90,191,1790,28,1695
113,13760,90,190,1788,28,1688
